id,名称,name,見出し,詳細,国,住所,緯度,経度,アクセス手段,営業時間,平均予算,おススメ時期,分類,列1,料金,営業時間2,おススメ時間帯,必須アイテム（通年、夏場、冬場,持ち込み不可な物,主なアクセス方法,ツアー料金（入館料とかはこの項目,豆知識（あったら
,ヴィ―ス教会,,ヴィ―スの奇跡,,ドイツ,,,,,,,,,,,,,,,,,
,アーヘン大聖堂,,,,ドイツ,,,,,,,,,,,,,,,,,
,パンプローナの牛追い祭り（サン・フェルミン祭り）,,,,スペイン,,,,,,,,,,,,,,,,,
,サン・セバスティアン,,,,スペイン,,,,,,,,,,,,,,,,,
,サンティアゴ・デ・コンポステーラ,,,,スペイン,,,,,,,,,,,,,,,,,
,モン・ペルデゥ,,,,スペイン,,,,,,,,,,,,,,,,,
,アルタミラ洞窟,,,,スペイン,,,,,,,,,,,,,,,,,
,古都トレド,,,,スペイン,,,,,,,,,,,,,,,,,
,セゴビア,,,,スペイン,,,,,,,,,,,,,,,,,
,クエンカ,,,,スペイン,,,,,,,,,,,,,,,,,
,サラマンカ,,,,スペイン,,,,,,,,,,,,,,,,,
,ミハス,,白を基調としてリゾート,,スペイン,,,,,,,,,,,,,,,,,
,アルハンブラ宮殿（グラナダ,,,,スペイン,,,,,,,,,,,,,,,,,
,セビリア大聖堂,,,,スペイン,,,,,,,,,,,,,,,,,
,コルドバ歴史地区（メスキータ,,,,スペイン,,,,,,,,,,,,,,,,,
,プラド美術館,,,,スペイン,,,,,,,,,,,,,,,,,
,マドリード王宮,,,,スペイン,,,,,,,,,,,,,,,,,
,ローマ水道橋,,,,スペイン,,,,,,,,,,,,,,,,,
,アルカサル,,,,スペイン,,,,,,,,,,,,,,,,,
,サクラダファミリア教会,,,,スペイン,,,,,,,,,,,,,,,,,
,グエル公園,,,,スペイン,,,,,,,,,,,,,,,,,
,カサバトリョ,,,,スペイン,,,,,,,,,,,,,,,,,
,カサミラ,,,,スペイン,,,,,,,,,,,,,,,,,
,カタルーニャ音楽堂,,,,スペイン,,,,,,,,,,,,,,,,,
,サンパワ病院,,,,スペイン,,,,,,,,,,,,,,,,,
,カテドラル,,,,スペイン,,,,,,,,,,,,,,,,,
,ランブラス通り＆サンジョセップ市場,,,,スペイン,,,,,,,,,,,,,,,,,
,ミラノ大聖堂,,,,イタリア,,,,,,,,,,,,,,,,,
,ガッレリア,,,,イタリア,,,,,,,,,,,,,,,,,
,ミケランジェロ広場,,,,イタリア,,,,,,,,,,,,,,,,,
,スカラ座,,,,イタリア,,,,,,,,,,,,,,,,,
,サンタマリアデルフォーレ大聖堂,,,,イタリア,,,,,,,,,,,,,,,,,
,サンマルコ広場,,,,イタリア,,,,,,,,,,,,,,,,,
,スペイン広場（ローマ,,,,イタリア,,,,,,,,,,,,,,,,,
,パンテオン,,,,イタリア,,,,,,,,,,,,,,,,,
,サンマルコ寺院,,,,イタリア,,,,,,,,,,,,,,,,,
,ピサの斜塔,,,,イタリア,,,,,,,,,,,,,,,,,
,真実の口,,,,イタリア,,,,,,,,,,,,,,,,,
,カステル・デル・オーボ,,,,イタリア,,,,,,,,,,,,,,,,,
